Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100204,China Pearl,"Chinese, Asian",550,40,Koramangala,4.5,10000,,,
100205,Vasavi Andhra Mess,"South Indian, Andhra, Chinese",100,34,Malleshwaram,3.8,100,,,
100206,Sri Krishna Sweets,Sweets,100,27,Basavanagudi,4.6,500,,,
100207,Siddique kabab centre,"Chinese, Arabian, Tandoor",100,28,Frazer Town,4.2,1000,,,
100208,QMIN - Snacks &amp; Chai,"Cafe, Beverages, Snacks",100,41,Vasanth Nagar,4,1000,,,
100209,Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",300,36,Ulsoor,4,500,,,
100210,Hotel Chandrika,"South Indian, North Indian, Chinese, Juices, Chaat, Ice Cream",150,25,Vasanth Nagar,4.3,10000,,,
100211,Tasty Paradise,"Andhra, Chinese, Mughlai, North Indian, Seafood",125,38,Malleshwaram,4.1,1000,,,
100212,The Good Bowl,"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages",200,27,Shantinagar,4.2,100,,,
100213,Faasos - Wraps &amp; Rolls,"Kebabs, Fast Food, Snacks, North Indian, American, Healthy Food, Desserts, Beverages",100,28,Shantinagar,4.2,1000,,,
100214,FoodX Restaurant,"Indian, Chinese, Juices",100,26,Vasanth Nagar,4,50,,,
100215,Daily Sushi,"Japanese, Asian, Korean",400,32,Ashok Nagar,4.4,500,,,
100216,Bangalikhana,"Bengali, Mughlai, Sweets",175,43,Koramangala,4.2,10000,,,
100217,Biryani Blues,"Biryani, Kebabs, Lucknowi, Hyderabadi",200,19,Ashok Nagar,4.2,500,,,
100218,The Grand Hyderabad Biryani Restaurant,"Biryani, Haleem, Desserts",200,30,Frazer Town,4.2,100,,,
100219,Kamat Aahaar- Malleshwaram,"South Indian, Snacks, Beverages",125,37,Malleshwaram,4.1,100,,,
100220,Shrinidhi Military Hotel,South Indian,150,27,Basavanagudi,3.9,500,,,
100221,The Pastry House,Bakery,75,48,Shanti Nagar,4.1,1000,,,
100222,Singh Da Punjabi Dhaba,"Punjabi, Tandoor, Chinese",100,33,Koramangala,3.8,1000,,,
100223,Antarastriya,"Chinese, Tibetan, Mexican, Italian-American",100,32,Basavanagudi,3.5,100,,,
100224,Upahara Darshini KIMS Canteen,"South Indian, North Indian, Desserts, Chinese",200,31,Basavanagudi,3.9,100,,,
100225,Kanti Bakes And Flakes,Sweets,100,24,Ashok Nagar,4.4,100,,,
100226,Desi Vdesi,"North Indian, Indian",100,25,Shanti Nagar,4.3,5000,,,
100227,Nati Mane,"Biryani, Indian",150,34,Koramangala,3.9,50,,,
100228,Sonar Bangla,Bengali,150,54,Koramangala,4,1000,,,
100229,The Biryani Life,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, Desserts, Beverages",125,23,Shantinagar,3.9,100,,,
100230,New Ambur Biryani,Biryani,150,26,AUSTIN TOWN,4.1,20,,,
100231,Mini Punjabi Dhaba,Indian,150,26,Banashankari,4.3,1000,,,
100232,Go Naati,"Biryani, South Indian",150,33,Rajajinagar,4,500,,,
100233,Meat and Eat,Biryani,150,40,Indiranagar,4,10000,,,
100234,Yediyur Ramanna Military Hotel,"North Indian, Indian, South Indian, Snacks",250,36,Jayanagar,4.1,500,,,
100235,Kaippunnyam Restaurant,"Kerala, Seafood, South Indian, Buffalo meat, Chettinad",150,35,Ashok Nagar,4.1,500,,,
100236,Axomi - Taste of Assam,"Assamese, Indian, Beverages, Bengali, Thalis, Nepalese, North Eastern, Naga",125,53,Koramangala,4.2,500,,,
100237,Bob's Bar,"South Indian, Biryani, Desserts, Bakery",150,41,Koramangala,4.3,1000,,,
100238,Homely Hut,"North Indian, Snacks, Beverages, Punjabi, Indian",125,30,Tavarekere,4,100,,,
100239,Biggies Burger,"American, Fast Food, Beverages",150,22,Church Street,4.1,100,,,
100240,Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",150,28,Ashok Nagar,4.2,100,,,
